N,S,M,L,XL
486,0.105,0.146,0.242,0.495
487,0.109,0.143,0.246,0.503
488,0.108,0.146,0.24,0.489
489,0.104,0.143,0.24,0.489
490,0.104,0.148,0.239,0.486
491,0.106,0.146,0.248,0.493
492,0.11,0.143,0.241,0.49
493,0.106,0.145,0.238,0.496
494,0.104,0.145,0.25,0.5
495,0.105,0.142,0.275,0.493
496,0.108,0.144,0.255,0.496
497,0.104,0.149,0.25,0.49
498,0.104,0.142,0.25,0.493
499,0.104,0.142,0.252,0.509
